"MuiTypography-root href","MuiBox-root src","MuiTypography-root","MuiTypography-root 2","MuiStack-root","MuiStack-root 2","MuiStack-root 3","MuiBox-root"
"https://emploitic.com/entreprises/sarl-imc-industrie-medico-chirurgicales/offres-d-emploi/industries/key-account-manager-delegue-medical-d3892f65c1c7a35a861f5c55","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:02c21234-e8bf-411c-aa7f-c7f3698083ca:logo:69a058ddf7611122299eb7d8","Key Account Manager ( Délégué médical )","Sarl IMC Industrie Médico-chirurgicales","Alger, Algérie","25 March","Confirmé / Expérimenté (1 À 2 Ans)","<br /><h4 class="""">Profil recherché :  </h4><p></p><ul><li>Formation médecine, pharmacie, Biologie, de formation scientifique en général.<br /></li><li>Apte aux déplacements.<br /></li><li>Véhiculé(e).<br /></li><li>Bonne présentation.<br /></li><li>Très bonne maîtrise du français, l'anglais serai"
"https://emploitic.com/entreprises/darelkhir/offres-d-emploi/services/charge-de-marketing-community-manager-0f7790d9725c6cd3adc5268c","https://emploitic.com/images/sectors/services.jpg","Chargé De Marketing- community manager","Darelkhir","Tizi Ouzou, Algérie","24 March","Confirmé / Expérimenté (1 À 2 Ans)","<p>La Promotion Immobilière Dar El Khir recrute un(e) Chargé(e) Marketing &amp; Community Manager pour renforcer son équipe et développer sa présence digitale.  </p><p>MISSIONS PRINCIPALES:</p><p>-Gérer et animer les réseaux sociaux de l’entreprise (Facebook, Instagram, etc.)</p><p> -Créer et publie"
"https://emploitic.com/entreprises/intaj-mohtawayat/offres-d-emploi/informatique-telecom-internet/digital-marketing-specialist-4976b5ba8d825f2db67f2222","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:551e5f4c-63ff-41b3-8aaf-b8017dfe461b:logo:69a4e75ff761112229a94d08","Digital Marketing Specialist","Intaj Mohtawayat","Alger, Algérie","24 March","Confirmé / Expérimenté (3 À 5 Ans)","<h3>À propos de l'entreprise :</h3><p><strong>INTAJ</strong> est une entreprise spécialisée dans la création et le développement de solutions numériques avancées, centrée sur l’intelligence artificielle (IA) et l’innovation technologique. Elle conçoit des applications, plateformes digitales et outil"
"https://emploitic.com/entreprises/soficlef/offres-d-emploi/industries/responsable-communication-54927df0e9252d17a9e291c6","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:c2edc16c-3d7e-4df4-842f-832e6e6a1323:logo:69288a7af7611122293494be","Responsable Communication","Soficlef","Si Mustapha, Daïra Isser, Boumerdès, Algérie","24 March","Manager / Responsable Département (6 À 10 Ans)","<p><b><u>-      Missions du poste</u></b></p><p></p><p><a name=""_Hlk80772747"">-       Accompagner le Directeur Marketing dans la mise en place de la stratégie de communication et les modes </a>appropriés ;</p><p>-       Assurer la mise en œuvre et la coordination des différentes formes de communicat"
"https://emploitic.com/entreprises/innovation-together/offres-d-emploi/services/charge-marketing-4916b40270c4308eff3d6e97","https://emploitic.com/images/sectors/services.jpg","Chargé Marketing","Inovatio together","Guerrouaou, Daïra Boufarik, Blida, Algérie","24 March","Débutant / Junior (Sans Expérience)","<h3>Description:</h3><p>Nous recherchons une Chargée Marketing débutante pour rejoindre notre équipe dynamique à Guerrouaou, Daïra Boufarik, Blida. Ce poste en CDI est idéal pour une jeune diplômée titulaire d’un Master 2, d’un Ingéniorat ou d’un Bac +5, passionnée par le marketing et la communicati"
"https://emploitic.com/entreprises/souha-school-languages-training/offres-d-emploi/services/commercial-f98b003b895ba94970dad9b7","https://emploitic.com/images/sectors/services.jpg","Commercial","Souha School Languages & training","Dély Brahim, Daïra Cheraga, Alger, Algérie","24 March","Confirmé / Expérimenté (1 À 2 Ans)","<p>Dans le cadre du développement de ses activités, <strong>SOUHA SCHOOL</strong> recrute un(e) <strong>commercial(e) dynamique et véhiculée</strong> pour renforcer son équipe et promouvoir ses offres de formation auprès des entreprises.</p><p><strong>Missions principales :</strong></p><ul><li><p>Pr"
"https://emploitic.com/entreprises/eurl-artifact/offres-d-emploi/services/charge-du-marketing-digital-77400c22c168c30ac1d757c1","https://emploitic.com/images/sectors/services.jpg","Chargé du Marketing digital","EURL ARTIFACT","Oran, Algérie","24 March","Confirmé / Expérimenté (3 À 5 Ans)","<p>Nous recrutons un(e) Chargé(e) de Marketing Digital pour promouvoir nos programmes de formation destinés aux professionnels de santé.</p><h3>🎯 Missions</h3><ul><li><p>Gestion des réseaux sociaux et création de contenu médical</p></li><li><p>Lancement et optimisation de campagnes (Meta Ads, Googl"
"https://emploitic.com/entreprises/bahia-shop/offres-d-emploi/distribution-commerce/community-manager-eab0147246cfaaefbe9483be","https://emploitic.com/images/sectors/commerce.jpg","Community Manager","Bahia shop","Es Senia, Daïra Es Senia, Oran, Algérie","24 March","Stagiaire / Etudiant (Sans Expérience)","<h3>Description:</h3><p>Nous recherchons quatre stagiaires dynamiques et motivés pour le poste de Community Manager à Es Senia, Oran. Ce poste est idéal pour les étudiants ou jeunes sans expérience souhaitant développer leurs compétences en création, design, marketing et communication au sein d’une"
"https://emploitic.com/entreprises/hamoud-boualem/offres-d-emploi/industries/superviseur-trade-marketing-constantine-912c81703bf582703e419a26","https://emploitic.com/images/logos/arn:eu-west-1:oss::2c6ae5ef9a84e82c8129becb:logo:6629859cb5d95b7345365f6b","Superviseur Trade Marketing (Constantine)","Hamoud Boualem","Constantine, Algérie","24 March","Confirmé / Expérimenté (3 À 5 Ans)","<p><strong data-start=""283"" data-end=""309"" style=""font-size: 1rem;"">Missions principales :</strong></p><ul data-start=""495"" data-end=""1096""><li data-start=""495"" data-end=""598""><p data-start=""497"" data-end=""598"">Déployer et piloter les actions trade marketing sur les différents circuits (GMS, traditi"
"https://emploitic.com/entreprises/hijab-saba/offres-d-emploi/distribution-commerce/community-manager-91cd2858b2494bf4ad6122dd","https://emploitic.com/images/sectors/commerce.jpg","Community Manager","HIJAB SABA","Aïn Benian, Daïra Hammam Righa, Aïn Defla, Algérie (Hybride)","24 March","Débutant / Junior (1 À 2 Ans)","<p>Nouvelle marque spécialisée dans les vêtements pour femmes musulmanes</p><p>(abaya, hijab, foulards…)</p><p></p><p>recherche :</p><p>👩‍💻 Social Media Manager / community manager  – Présentiel</p><p>📍 Aïn Benian – Alger</p><p>🕘 1/2 ou 5/7</p><p>💰 60 000 DA à 120 000 DA (selon objectifs &amp;"
"https://emploitic.com/entreprises/dot-kom/offres-d-emploi/services/commercial-freelance-bbbd3cb84850d0a38e42fd9c","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:b72bb5f3-bceb-4767-ae41-137001a3d9f4:logo:66e80e78e4429bb6787ee186","Commercial Freelance","DotKom","Alger, Algérie","24 March","Stagiaire / Etudiant (Moins D’un An)","<p>Une nouvelle startup technologique déploie actuellement sur <strong>ORAN - ALGER - CONSTANTINE - ANNABA - TIPAZA - MOSTAGANEM</strong> une solution digitale inédite destinée à révolutionner le quotidien des commerces de proximité.</p><p></p><p>Notre objectif immédiat : équiper +300 points de vent"
"https://emploitic.com/offres-d-emploi/btp-construction-immobilier/cadre-detude-charge-de-la-communication-92b30b1fa8deba8614eb29e8","https://emploitic.com/images/sectors/immobilier.jpg","cadre d'étude chargé de la communication","Entreprise anonyme","Alger, Algérie","23 March","Confirmé / Expérimenté (3 À 5 Ans)","<p><b style=""font-size: 1rem;"">Missions principales</b><span style=""font-size: 1rem;"">&nbsp;Le cadre d'études chargé de la communication définit, met en œuvre et évalue la stratégie de communication de l'organisation, tant en interne qu'en externe, afin de valoriser son image de marque, d'accroître"
